name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Northwest Africa 7046,54841,Valid,H4,1819,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7059,54698,Valid,Ureilite,11730,Found,01/01/2008 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7061,54842,Valid,LL6,134.19999999999999,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7062,54843,Valid,Eucrite-mmict,62.9,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7063,54853,Valid,L6,188,Found,01/01/2009 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7064,55712,Valid,L6,115,Found,01/01/2008 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7069,54724,Valid,L5,882,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7070,54725,Valid,L3,1142,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7071,54726,Valid,LL6,236,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7072,54727,Valid,L6,507,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7073,54728,Valid,L6,1575,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7074,54729,Valid,H4,782,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7075,54730,Valid,L3,2815,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7076,54731,Valid,L4/5,32,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7077,54732,Valid,CV3,134,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7079,54734,Valid,H3,134,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7080,54735,Valid,L6-melt breccia,116,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7081,54736,Valid,L6,292,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7082,54737,Valid,H6,159,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7083,54738,Valid,CO3,55,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7084,54739,Valid,LL6-melt breccia,72,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7085,54740,Valid,L6-melt breccia,53,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7086,54741,Valid,CK4,20,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7087,54742,Valid,LL6,119,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7088,54743,Valid,LL5/6,72,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7089,54744,Valid,H4,647,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7090,54745,Valid,L3,379,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7091,54746,Valid,L4/5,76,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7092,54747,Valid,H4,59,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7093,54748,Valid,L6,40,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7094,54749,Valid,L3,7,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7095,54750,Valid,CV3,13,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7096,54751,Valid,H4,20,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7097,54752,Valid,Eucrite-pmict,26,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7098,54753,Valid,Eucrite-pmict,48,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7099,54754,Valid,LL6,36,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7100,54755,Valid,H3,73,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7101,54756,Valid,L6,64,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7102,54757,Valid,L3,42,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
